STT,Raw Text (Câu văn thô),Amount,Type,Category,Emotion,created_at,transaction_date,clean_text
1.0,Sáng nay mệt mỏi quá nên ăn bát phở 45k,45000.0,Chi tiêu,Ăn uống,Tiêu cực,2026-01-02 08:15:30,2026-01-02 08:15:30,sáng nay mệt_mỏi quá nên ăn_bát phở 45k
2.0,Mới nhận lương làm thêm 2 triệu vui quá xá,2000000.0,Thu nhập,Thu nhập,Tích cực,2026-01-05 17:40:12,2026-01-05 17:40:12,mới nhận lương làm thêm 2triệu vui quá_xá
3.0,Đóng tiền học phí 5tr mà xót hết cả ruột,5000000.0,Chi tiêu,Học tập,Tiêu cực,2026-01-08 10:20:00,2026-01-08 10:20:00,đóng tiền học_phí 5tr mà xót hết cả ruột
4.0,Tối đi trà sữa với hội bạn hết 120k vui cực,120000.0,Chi tiêu,Giải trí,Tích cực,2026-01-12 20:45:15,2026-01-12 20:45:15,tối đi trà_sữa với hội bạn hết 120k vui cực
5.0,Mua cuốn giáo trình 80k,80000.0,Chi tiêu,Học tập,Bình thường,2026-01-15 14:30:05,2026-01-15 14:30:05,mua cuốn giáo_trình 80k
6.0,Đổ xăng 50k mà giá lại tăng chán ghét,50000.0,Chi tiêu,Di chuyển,Tiêu cực,2026-01-18 07:10:40,2026-01-18 07:10:40,đổ xăng 50k mà giá lại tăng chán ghét
7.0,Đặt đồ ăn đêm hết 35k,35000.0,Chi tiêu,Ăn uống,Bình thường,2026-01-20 23:15:22,2026-01-20 23:15:22,đặt đồ_ăn đêm hết 35k
8.0,buồn vì hết tiền nên đành mua 15k mì tôm,15000.0,Chi tiêu,Ăn uống,Tiêu cực,2026-01-22 18:05:10,2026-01-22 18:05:10,buồn vì hết tiền nên đành mua 15k mì tôm
9.0,Được bố mẹ cho 3 củ đóng tiền nhà mừng ghê,3000000.0,Thu nhập,Thu nhập,Tích cực,2026-01-25 09:00:00,2026-01-25 09:00:00,được bố_mẹ cho 3củ đóng tiền nhà mừng ghê
10.0,Mua cái áo mới 250k trên Shopee ưng quá,250000.0,Chi tiêu,Mua sắm,Tích cực,2026-01-28 16:20:55,2026-01-28 16:20:55,mua cái áo mới 250k trên shopee ưng quá
11.0,Trả tiền mạng 200k mỗi tháng thấy tốn kém,200000.0,Chi tiêu,Hóa đơn,Tiêu cực,2026-01-30 21:00:30,2026-01-30 21:00:30,trả tiền mạng 200k mỗi tháng thấy tốn_kém
12.0,Đi xe bus hết 7k tiết kiệm được khối tiền,7000.0,Chi tiêu,Di chuyển,Tích cực,2026-02-01 06:45:12,2026-02-01 06:45:12,đi xe bus hết 7k tiết_kiệm được khối tiền
13.0,Ăn trưa cơm tiệm 35k ngon bổ rẻ,35000.0,Chi tiêu,Ăn uống,Tích cực,2026-02-03 12:15:00,2026-02-03 12:15:00,ăn trưa cơm tiệm 35k ngon_bổ rẻ
14.0,Nạp thẻ điện thoại 50k để đăng ký 4G,50000.0,Chi tiêu,Hóa đơn,Bình thường,2026-02-05 10:40:20,2026-02-05 10:40:20,nạp thẻ điện_thoại 50k để đăng_ký 4 g
15.0,Mất 200k tiền phạt xe máy ức chế thật,200000.0,Chi tiêu,Phát sinh,Tiêu cực,2026-02-07 15:55:45,2026-02-07 15:55:45,mất 200k tiền phạt xe_máy ức_chế thật
16.0,Đi ăn cưới bạn cũ mừng 500k hơi đau ví,500000.0,Chi tiêu,Giao lưu,Tiêu cực,2026-02-10 11:30:10,2026-02-10 11:30:10,đi ăn cưới bạn cũ mừng 500k hơi đau ví
17.0,Mua quà sinh nhật cho mẹ 300k rất hạnh phúc,300000.0,Chi tiêu,Giao lưu,Tích cực,2026-02-12 19:20:00,2026-02-12 19:20:00,mua quà sinh_nhật cho mẹ 300k rất hạnh_phúc
18.0,Sửa xe hết 150k vì thủng lốp đen quá,150000.0,Chi tiêu,Di chuyển,Tiêu cực,2026-02-14 08:50:35,2026-02-14 08:50:35,sửa xe hết 150k vì thủng lốp đen quá
